Company Name,What They Did,Acquired By,Kill Date,Years in Operation,Pre-Acq Revenue Model,Exit Transition
MeasureMap,"awesome web analytics, with social focus",Google,?,"beta only, never went public",subscriptions?
TeachStreet,Connected learners with local teachers and online course,Amazon Local,"February, 2012",5,Booking and payment processing fees,2 weeks notice to site termination
Dopplr,Beautiful travel itineraries and carbon output tracking,Nokia,"Sept, 2009",2,?,Dead silence
Bloglines
Delicious
Aardvark
Summify
BumpTop,Creative 3-D desktop metaphor,Google,"April, 2010",3,$29/seat,"Free download for 1 week, all support and development immediately dropped."
